ID,StationID,MeterTypeID,SerialNumber,StartTime,EndTime,ArrivalTime
1,1,2,SN-0001,2026-08-01T08:01:00,2026-08-01T08:01:38,2026-08-01T08:00:33
2,2,2,SN-0001,2026-08-01T08:02:51,2026-08-01T08:03:26,2026-08-01T08:00:11
3,3,2,SN-0001,2026-08-01T08:05:02,2026-08-01T08:05:22,2026-08-01T08:00:48
4,1,3,SN-0002,2026-08-01T08:12:00,2026-08-01T08:12:42,2026-08-01T08:11:10
5,2,3,SN-0002,2026-08-01T08:13:26,2026-08-01T08:14:23,2026-08-01T08:12:04
6,3,3,SN-0002,2026-08-01T08:16:39,2026-08-01T08:17:43,2026-08-01T08:15:23
7,4,3,SN-0002,2026-08-01T08:20:04,2026-08-01T08:20:52,2026-08-01T08:18:42
8,5,3,SN-0002,2026-08-01T08:22:13,2026-08-01T08:23:16,2026-08-01T08:17:45
9,1,1,SN-0003,2026-08-01T08:28:00,2026-08-01T08:28:33,2026-08-01T08:27:52
10,2,1,SN-0003,2026-08-01T08:30:32,2026-08-01T08:31:38,2026-08-01T08:27:10
11,3,1,SN-0003,2026-08-01T08:33:31,2026-08-01T08:34:10,2026-08-01T08:32:37
12,4,1,SN-0003,2026-08-01T08:35:12,2026-08-01T08:36:11,2026-08-01T08:30:25
13,5,1,SN-0003,2026-08-01T08:37:52,2026-08-01T08:38:48,2026-08-01T08:35:41
14,1,2,SN-0004,2026-08-01T08:36:00,2026-08-01T08:36:55,2026-08-01T08:35:47
15,2,2,SN-0004,2026-08-01T08:37:33,2026-08-01T08:38:28,2026-08-01T08:32:48
16,3,2,SN-0004,2026-08-01T08:41:06,2026-08-01T08:41:26,2026-08-01T08:37:54
17,4,2,SN-0004,2026-08-01T08:42:17,2026-08-01T08:43:12,2026-08-01T08:41:04
18,5,2,SN-0004,2026-08-01T08:43:51,2026-08-01T08:44:33,2026-08-01T08:41:27
19,1,3,SN-0005,2026-08-01T08:48:00,2026-08-01T08:48:48,2026-08-01T08:47:21
20,2,3,SN-0005,2026-08-01T08:51:01,2026-08-01T08:51:27,2026-08-01T08:46:55
21,3,3,SN-0005,2026-08-01T08:52:35,2026-08-01T08:53:31,2026-08-01T08:49:11
22,4,3,SN-0005,2026-08-01T08:56:28,2026-08-01T08:57:35,2026-08-01T08:51:48
23,5,3,SN-0005,2026-08-01T08:59:49,2026-08-01T09:00:10,2026-08-01T08:58:27
24,1,1,SN-0006,2026-08-01T09:04:00,2026-08-01T09:04:29,2026-08-01T09:03:12
25,2,1,SN-0006,2026-08-01T09:07:24,2026-08-01T09:07:55,2026-08-01T09:05:28
26,3,1,SN-0006,2026-08-01T09:08:56,2026-08-01T09:09:45,2026-08-01T09:07:01
27,4,1,SN-0006,2026-08-01T09:11:29,2026-08-01T09:12:32,2026-08-01T09:09:58
