SerialNumber,CellID,MeterTypeID
SN-0001,1,2
SN-0002,1,3
SN-0003,1,1
SN-0004,1,2
SN-0005,1,3
SN-0006,1,1
SN-0007,1,2
SN-0008,1,3
SN-0009,1,1
SN-0010,1,2
SN-0011,1,3
SN-0012,1,1
SN-0013,1,2
SN-0014,1,3
SN-0015,1,1
SN-0016,1,2
SN-0017,1,3
SN-0018,1,1
SN-0019,1,2
SN-0020,1,3
SN-0021,2,1
SN-0022,2,2
SN-0023,2,3
SN-0024,2,1
SN-0025,2,2
SN-0026,2,3
SN-0027,2,1
SN-0028,2,2
SN-0029,2,3
SN-0030,2,1
SN-0031,2,2
SN-0032,2,3
SN-0033,2,1
SN-0034,2,2
SN-0035,2,3
SN-0036,2,1
SN-0037,2,2
SN-0038,2,3
SN-0039,2,1
SN-0040,2,2
SN-0041,3,3
SN-0042,3,1
SN-0043,3,2
SN-0044,3,3
SN-0045,3,1
SN-0046,3,2
SN-0047,3,3
SN-0048,3,1
SN-0049,3,2
SN-0050,3,3
SN-0051,3,1
SN-0052,3,2
SN-0053,3,3
SN-0054,3,1
SN-0055,3,2
SN-0056,3,3
SN-0057,3,1
SN-0058,3,2
SN-0059,3,3
SN-0060,3,1
SN-0061,4,2
SN-0062,4,3
SN-0063,4,1
SN-0064,4,2
SN-0065,4,3
SN-0066,4,1
SN-0067,4,2
SN-0068,4,3
SN-0069,4,1
SN-0070,4,2
SN-0071,4,3
SN-0072,4,1
SN-0073,4,2
SN-0074,4,3
SN-0075,4,1
SN-0076,4,2
SN-0077,4,3
SN-0078,4,1
SN-0079,4,2
SN-0080,4,3
SN-0081,1,1
SN-0082,2,2
SN-0083,3,3
SN-0084,4,1
SN-0085,1,2
SN-0086,2,3
SN-0087,3,1
SN-0088,4,2
SN-0089,1,3
SN-0090,2,1
SN-0091,3,2
SN-0092,4,3
SN-0093,1,1
SN-0094,2,2
SN-0095,3,3
SN-0096,4,1
SN-0097,1,2
SN-0098,2,3
SN-0099,3,1
SN-0100,4,2
